NAME,CLUB,LEAGUE,POSITION,TIER,RATING,PACE,SHOOTING,PASSING,DRIBBLING,DEFENDING,PHYSICAL,LOADDATE
A. Dedić,RZ Pellets Wolfsberger AC,Austrian Football Bundesliga,ST,Bronze,66,71,61,50,62,35,57,19-09-2018 12:10
Iago López,CD Mirandés,Spanish Segunda División,RB,Bronze,66,58,62,63,62,57,61,19-09-2018 12:10
F. Doucouré,Stade de Reims,French Ligue 1,CAM,Bronze,66,72,47,60,63,60,61,19-09-2018 12:10
Luís Mata,Pogoń Szczecin,Polish T-Mobile Ekstraklasa,CB,Bronze,66,67,59,63,67,58,65,19-09-2018 12:10
N. Patterson,Rangers FC,Scottish Premiership,ST,Bronze,66,62,37,51,52,61,69,19-09-2018 12:10
K. Fujimoto,Gil Vicente FC,Portuguese Liga ZON SAGRES,LM,Bronze,66,71,52,61,64,63,71,19-09-2018 12:10
B. Letić,CD Mirandés,Spanish Segunda División,RB,Bronze,66,68,62,62,66,58,62,19-09-2018 12:10
M. Rente,Heracles Almelo,Holland Eredivisie,CB,Bronze,66,74,62,46,63,30,69,19-09-2018 12:10
F. Andueza,Club Atlético Central Córdoba,Argentina Primera División,LB,Bronze,66,66,28,39,46,64,67,19-09-2018 12:10
M. Mitaj,AEK Athens,Greek Super League,CB,Bronze,66,72,35,54,55,60,71,19-09-2018 12:10
J. Oosterwolde,FC Twente,Holland Eredivisie,ST,Bronze,66,68,54,64,64,53,68,19-09-2018 12:10
S. Meza,Club Atlético Huracán,Argentina Primera División,LB,Bronze,66,70,58,62,64,52,63,19-09-2018 12:10
Jean Patric,Santa Clara,Portuguese Liga ZON SAGRES,CB,Bronze,66,58,56,65,67,46,51,19-09-2018 12:10
N. Castro,Arsenal de Sarandí,Argentina Primera División,CAM,Bronze,66,81,55,60,67,58,61,19-09-2018 12:10
Martín Calderón,Cádiz CF,Spain Primera Division,CB,Bronze,66,63,52,64,63,62,67,19-09-2018 12:10
S. Kennedy,SSV Jahn Regensburg,German 2. Bundesliga,CDM,Bronze,66,61,31,48,37,61,75,19-09-2018 12:10
A. Cabrera,Club Atlético Banfield,Argentina Primera División,CM,Bronze,66,63,50,63,67,54,66,19-09-2018 12:10
Ž. Rogelj,WSG Tirol,Austrian Football Bundesliga,ST,Bronze,66,79,50,57,64,44,58,19-09-2018 12:10
Quintana,Málaga CF,Spanish Segunda División,CAM,Bronze,66,68,63,59,59,60,71,19-09-2018 12:10
Larrubia,Málaga CF,Spanish Segunda División,RB,Bronze,66,71,40,60,57,59,70,19-09-2018 12:10
S. Tedić,PEC Zwolle,Holland Eredivisie,LB,Bronze,66,75,63,64,68,48,55,19-09-2018 12:10
D. Sinani,Huddersfield Town,English League Championship,RM,Bronze,66,38,20,38,34,62,80,19-09-2018 12:10
A. Çankaya,Göztepe SK,Turkish Süper Lig,LB,Bronze,66,77,29,43,36,63,74,19-09-2018 12:10
M. Braida,Club Atlético Aldosivi,Argentina Primera División,CDM,Bronze,66,64,66,43,55,25,68,19-09-2018 12:10
Meseguer,CD Mirandés,Spanish Segunda División,LB,Bronze,66,64,34,43,48,63,78,19-09-2018 12:10
Luiz Júnior,Futebol Clube de Famalicão,Portuguese Liga ZON SAGRES,CAM,Bronze,66,74,43,51,61,62,65,19-09-2018 12:10
T. Dzvukamanja,Orlando Pirates,South African Premier Division,CAM,Bronze,66,61,43,62,63,62,64,19-09-2018 12:10
Yan Couto,SC Braga,Portuguese Liga ZON SAGRES,CDM,Bronze,66,68,47,64,61,48,65,19-09-2018 12:10
A. Alipour,Clube Sport Marítimo,Portuguese Liga ZON SAGRES,CM,Bronze,66,69,62,51,63,31,73,19-09-2018 12:10
R. Vilca,Doncaster Rovers,English League One,CB,Bronze,66,67,60,60,64,60,71,19-09-2018 12:10
O. Doumbia,FC Zürich,Swiss Super League,CB,Bronze,66,69,56,60,65,51,61,19-09-2018 12:10
C. Clark,New York Red Bulls,USA Major League Soccer,LB,Bronze,66,70,59,49,60,28,67,19-09-2018 12:10
E. Ramírez,Dynamo Kyiv,Ukrainian Premier League,CB,Bronze,66,70,52,62,70,38,49,19-09-2018 12:10
M. Gusto,Olympique Lyonnais,French Ligue 1,ST,Bronze,66,80,60,54,64,55,68,19-09-2018 12:10
M. Portanova,Genoa,Italian Serie A,RB,Bronze,66,78,63,51,66,28,47,19-09-2018 12:10
Terrats,Girona FC,Spanish Segunda División,LB,Bronze,66,68,30,52,62,61,55,19-09-2018 12:10
B. Aguirre,Club Atlético Lanús,Argentina Primera División,CM,Bronze,66,47,25,37,36,62,73,19-09-2018 12:10
R. Toledo,Guaireña FC,Paraguayan Primera División,ST,Bronze,66,61,26,40,45,62,68,19-09-2018 12:10
K. Moreno,Carlos A. Mannucci,Peruvian Primera División,LB,Bronze,66,65,62,59,63,40,53,19-09-2018 12:10
R. Fernández,Carlos A. Mannucci,Peruvian Primera División,CB,Bronze,66,74,55,56,64,34,56,19-09-2018 12:10
O. Noronha,Carlos A. Mannucci,Peruvian Primera División,CDM,Bronze,66,77,46,57,59,58,65,19-09-2018 12:10
J. Fuentes,Carlos A. Mannucci,Peruvian Primera División,CM,Bronze,66,69,25,51,60,61,56,19-09-2018 12:10
I. Machuca,Unión de Santa Fe,Argentina Primera División,CB,Bronze,66,57,30,46,51,66,73,19-09-2018 12:10
F. La Mantía,Deportivo La Guaira FC,Venezuelan Primera División,CAM,Bronze,66,65,54,58,65,60,60,19-09-2018 12:10
V. Edvardsen,Degerfors IF,Swedish Allsvenskan,LB,Bronze,66,63,59,63,63,40,62,19-09-2018 12:10
M. Cardozo,12 de Octubre FC,Paraguayan Primera División,LB,Bronze,66,59,45,38,38,61,66,19-09-2018 12:10
V. Ayala,12 de Octubre FC,Paraguayan Primera División,LB,Bronze,66,69,61,60,64,50,63,19-09-2018 12:10
Lautaro,RC Celta de Vigo,Spain Primera Division,ST,Bronze,66,46,51,62,64,57,63,19-09-2018 12:10
D. Pérez,Club Brugge KV,Belgian Jupiler Pro League,LB,Bronze,66,73,58,56,65,27,56,19-09-2018 12:10
Jesús Vázquez,Valencia CF,Spain Primera Division,CB,Bronze,66,70,59,48,60,31,66,19-09-2018 12:10
André Amaro,Vitória de Guimarães,Portuguese Liga ZON SAGRES,RM,Bronze,66,73,58,58,66,35,62,19-09-2018 12:10
R. Morales,Club Cerro Porteño,Paraguayan Primera División,CB,Bronze,66,68,60,62,61,52,57,19-09-2018 12:10
K. Nishiya,Tokushima Vortis,Japanese J. League Division 1,CM,Bronze,66,66,64,43,53,29,63,19-09-2018 12:10
D. Dioses,Carlos A. Mannucci,Peruvian Primera División,CAM,Bronze,66,75,54,56,67,24,49,19-09-2018 12:10
M. Rogers,AFC Bournemouth,English League Championship,CB,Bronze,66,66,44,60,64,59,63,19-09-2018 12:10
N. Amarilla,Club Deportivo Guabirá,Liga de Fútbol Profesional Boliviano,CB,Bronze,66,57,53,59,56,55,59,19-09-2018 12:10
L. Hurtado,Club Deportivo Guabirá,Liga de Fútbol Profesional Boliviano,CB,Bronze,66,73,57,59,61,41,71,19-09-2018 12:10
S. Nakamura,Avispa Fukuoka,Japanese J. League Division 1,CM,Bronze,66,60,63,50,57,28,71,19-09-2018 12:10
Y. Imazu,Sanfrecce Hiroshima,Japanese J. League Division 1,CM,Bronze,66,80,64,43,62,24,62,19-09-2018 12:10
E. Rivera,Club Atlético Palmaflor,Liga de Fútbol Profesional Boliviano,RB,Bronze,66,63,31,56,63,62,64,19-09-2018 12:10
A. Maglica,APOEL Nicosia FC,Cypriot First Division,ST,Bronze,66,82,59,50,67,20,50,19-09-2018 12:10
M. García,Club Atlético Sarmiento,Argentina Primera División,CB,Bronze,66,48,22,42,45,60,76,19-09-2018 12:10
Arnau Martínez,Girona FC,Spanish Segunda División,CDM,Bronze,66,81,33,51,56,59,69,19-09-2018 12:10
D. Kolinger,Vejle Boldklub,Danish Superliga,RM,Bronze,66,71,56,64,66,48,59,19-09-2018 12:10
S. Radić,K Beerschot VA,Belgian Jupiler Pro League,CDM,Bronze,66,64,52,58,63,58,73,19-09-2018 12:10
A. Hamdi,Club de Foot Montréal,USA Major League Soccer,CB,Bronze,66,71,55,58,66,39,48,19-09-2018 12:10
R. Piñeiro,Nashville SC,USA Major League Soccer,LB,Bronze,66,55,25,35,40,60,76,19-09-2018 12:10
T. Palacios,Platense,Argentina Primera División,CM,Bronze,66,81,56,57,64,44,65,19-09-2018 12:10
A. Costa,Club Atlético Independiente,Argentina Primera División,CB,Bronze,66,72,60,56,63,34,51,19-09-2018 12:10
D. Štefulj,Dinamo Zagreb,Croatian Prva HNL,ST,Bronze,66,68,31,48,52,61,66,19-09-2018 12:10
J. López,Club Atlético Lanús,Argentina Primera División,RM,Bronze,66,68,43,54,60,60,77,19-09-2018 12:10
J. Malatini,Club Atlético Talleres,Argentina Primera División,LM,Bronze,66,70,60,64,69,49,54,19-09-2018 12:10
I. Maggi,Racing Club,Argentina Primera División,CDM,Bronze,66,78,57,54,60,26,73,19-09-2018 12:10
A. Andrejević,GwangJu FC,Korean K League 1,ST,Bronze,66,74,64,44,65,22,38,19-09-2018 12:10
Thiago Andrade,New York City FC,USA Major League Soccer,ST,Bronze,66,71,24,45,58,64,72,19-09-2018 12:10
Miguel,Real Madrid CF,Spain Primera Division,CB,Bronze,66,72,48,55,62,59,64,19-09-2018 12:10
Kayky,Manchester City,English Premier League,CM,Bronze,66,71,57,57,69,27,49,19-09-2018 12:10
E. Darboe,Roma,Italian Serie A,LB,Bronze,66,39,61,65,65,56,60,19-09-2018 12:10
Carlos Domínguez,RC Celta de Vigo,Spain Primera Division,RB,Bronze,66,82,47,54,59,60,64,19-09-2018 12:10
A. Bangura,SC Cambuur,Holland Eredivisie,CDM,Bronze,66,77,50,60,66,42,58,19-09-2018 12:10
Rubén,UD Ibiza,Spanish Segunda División,ST,Bronze,66,81,51,66,63,38,56,19-09-2018 12:10
E. Tavşan,N.E.C. Nijmegen,Holland Eredivisie,ST,Bronze,66,68,63,45,62,27,57,19-09-2018 12:10
Chiquinho,Estoril Praia,Portuguese Liga ZON SAGRES,LB,Bronze,66,64,52,60,65,51,60,19-09-2018 12:10
Adílio Santos,FC Arouca,Portuguese Liga ZON SAGRES,CM,Bronze,66,68,60,61,66,48,47,19-09-2018 12:10
Iker Seguín,SD Amorebieta,Spanish Segunda División,RM,Bronze,66,65,61,51,58,28,67,19-09-2018 12:10
Olasagasti,Real Sociedad B,Spanish Segunda División,CB,Bronze,66,67,57,58,65,46,59,19-09-2018 12:10
J. Blasco,Real Sociedad B,Spanish Segunda División,CB,Bronze,66,71,59,58,61,41,64,19-09-2018 12:10
Rafael Santos,APOEL Nicosia FC,Cypriot First Division,CB,Bronze,66,68,56,58,64,57,63,19-09-2018 12:10
F. Zabala,APOEL Nicosia FC,Cypriot First Division,CB,Bronze,66,74,35,51,61,61,62,19-09-2018 12:10
Nuno Moreira,FC Vizela,Portuguese Liga ZON SAGRES,LM,Bronze,66,56,34,42,42,61,73,19-09-2018 12:10
Tomás Silva,FC Vizela,Portuguese Liga ZON SAGRES,CB,Bronze,66,72,52,52,59,60,70,19-09-2018 12:10
Ros,CD Lugo,Spanish Segunda División,CB,Bronze,66,66,37,55,57,60,74,19-09-2018 12:10
E. Sahiti,Hajduk Split,Croatian Prva HNL,LB,Bronze,66,54,60,41,59,25,71,19-09-2018 12:10
V. Međimorec,AFC UTA Arad,Romanian Liga I,ST,Bronze,66,70,55,62,67,48,55,19-09-2018 12:10
Luiz Felipe,Belenenses SAD,Portuguese Liga ZON SAGRES,CB,Bronze,66,61,31,53,59,62,70,19-09-2018 12:10
D. Peretz,Venezia FC,Italian Serie A,CM,Bronze,66,76,49,60,62,60,62,19-09-2018 12:10
E. Guerrero,Club Independiente Santa Fe,Colombian Liga Postobón,CM,Bronze,66,74,61,50,65,27,59,19-09-2018 12:10
Rodrigo Conceição,Moreirense FC,Portuguese Liga ZON SAGRES,CM,Bronze,66,61,28,43,51,62,69,19-09-2018 12:10
Álex Balde,FC Barcelona,Spain Primera Division,CM,Bronze,66,56,50,57,64,58,72,19-09-2018 12:10
E. Daniel,Zagłębie Lubin,Polish T-Mobile Ekstraklasa,LM,Bronze,66,50,43,59,61,61,69,19-09-2018 12:10
Beñat Prados,Athletic Club de Bilbao,Spain Primera Division,RW,Bronze,66,85,54,59,62,53,57,19-09-2018 12:10
Gilson Tavares,Estoril Praia,Portuguese Liga ZON SAGRES,ST,Bronze,66,75,52,57,57,58,66,19-09-2018 12:10
T. Persyn,Club Brugge KV,Belgian Jupiler Pro League,LB,Bronze,66,73,36,59,55,56,76,19-09-2018 12:10
Léo Chú,Seattle Sounders FC,USA Major League Soccer,CB,Bronze,66,63,50,65,60,55,67,19-09-2018 12:10
A. Burlamaqui,Valencia CF,Spain Primera Division,LB,Bronze,66,64,34,44,51,64,69,19-09-2018 12:10
Gavi,FC Barcelona,Spain Primera Division,RM,Bronze,66,80,59,57,64,35,61,19-09-2018 12:10
N. Makhubela,Orlando Pirates,South African Premier Division,ST,Bronze,66,55,63,62,63,56,67,19-09-2018 12:10
P. Ndiaye,SC Rheindorf Altach,Austrian Football Bundesliga,CB,Bronze,66,74,59,43,62,28,48,19-09-2018 12:10
M. Abline,Stade Rennais FC,French Ligue 1,LB,Bronze,66,80,54,57,60,47,66,19-09-2018 12:10
J. Boselli,CD Tondela,Portuguese Liga ZON SAGRES,ST,Bronze,66,58,66,43,61,36,71,19-09-2018 12:10
J. Bothroyd,Hokkaido Consadole Sapporo,Japanese J. League Division 1,CB,Bronze,65,60,54,62,59,60,62,19-09-2018 12:10
L. Grant,Manchester United,English Premier League,ST,Bronze,65,81,61,55,59,41,71,19-09-2018 12:10
A. Mannus,Shamrock Rovers,Rep. Ireland Airtricity League,CDM,Bronze,65,63,56,62,66,60,64,19-09-2018 12:10
D. Martin,West Ham United,English Premier League,ST,Bronze,65,77,43,53,62,59,58,19-09-2018 12:10
D. Lewington,Milton Keynes Dons,English League One,CB,Bronze,65,86,57,51,61,57,68,19-09-2018 12:10
Y. Okubo,Cerezo Osaka,Japanese J. League Division 1,CM,Bronze,65,71,47,60,62,63,72,19-09-2018 12:10
A. Baptiste,Bolton Wanderers,English League One,CB,Bronze,65,88,51,57,69,38,58,19-09-2018 12:10
Saizar,SD Amorebieta,Spanish Segunda División,ST,Bronze,65,58,26,41,43,62,73,19-09-2018 12:10
M. Roman,FC Botoşani,Romanian Liga I,RM,Bronze,65,67,25,40,45,62,69,19-09-2018 12:10
Kang Min Soo,Incheon United FC,Korean K League 1,CF,Bronze,65,71,52,61,65,55,61,19-09-2018 12:10
J. Rzeźniczak,Wisła Płock,Polish T-Mobile Ekstraklasa,RB,Bronze,65,43,67,44,59,38,59,19-09-2018 12:10
A. Akinfenwa,Wycombe Wanderers,English League One,RW,Bronze,65,75,60,60,67,26,62,19-09-2018 12:10
R. Wood,Rotherham United,English League One,RB,Bronze,65,76,53,61,63,62,56,19-09-2018 12:10
S. Holmén,IF Elfsborg,Swedish Allsvenskan,LWB,Bronze,65,51,56,53,57,59,79,19-09-2018 12:10
A. Jaakkola,Bristol Rovers,English League Two,CB,Bronze,65,70,58,52,60,27,69,19-09-2018 12:10
M. Sonnleitner,TSV Egger Glas Hartberg,Austrian Football Bundesliga,RW,Bronze,65,57,49,60,66,43,54,19-09-2018 12:10
C. Bryson,St. Johnstone FC,Scottish Premiership,CAM,Bronze,65,81,45,55,64,56,71,19-09-2018 12:10
A. Busteño,Cerro Largo Fútbol Club,Uruguayan Primera División,CB,Bronze,65,73,56,62,69,52,66,19-09-2018 12:10
J. Adelalla,Cerro Largo Fútbol Club,Uruguayan Primera División,ST,Bronze,65,76,49,63,62,26,52,19-09-2018 12:10
B. Watson,Charlton Athletic,English League One,ST,Bronze,65,71,62,61,65,40,68,19-09-2018 12:10
D. Ousted,Hammarby IF,Swedish Allsvenskan,RB,Bronze,65,57,53,61,59,62,72,19-09-2018 12:10
M. Jakobsen,Adelaide United,Australian Hyundai A-League,ST,Bronze,65,74,47,60,62,59,69,19-09-2018 12:10
A. Keogh,Perth Glory,Australian Hyundai A-League,CB,Bronze,65,64,61,63,63,55,71,19-09-2018 12:10
J. Walsh,Lincoln City,English League One,CM,Bronze,65,68,62,56,63,38,67,19-09-2018 12:10
Oh Beom Seok,Pohang Steelers,Korean K League 1,CM,Bronze,65,55,51,62,63,52,62,19-09-2018 12:10
S. Whalley,Shrewsbury Town,English League One,CB,Bronze,65,64,36,51,58,62,67,19-09-2018 12:10
O. Hoban,CFR Cluj,Romanian Liga I,CB,Bronze,65,67,27,45,48,61,64,19-09-2018 12:10
C. Daniels,Colchester United,English League Two,CM,Bronze,65,74,56,58,65,41,58,19-09-2018 12:10
M. Oyola,Barcelona Sporting Club,Ecuadorian Serie A,CDM,Bronze,65,82,55,52,62,57,75,19-09-2018 12:10
J. Parr,Strømsgodset IF,Norwegian Eliteserien,CB,Bronze,65,66,36,52,59,60,74,19-09-2018 12:10
E. Castillo,FC Cincinnati,USA Major League Soccer,CB,Bronze,65,48,26,43,44,60,69,19-09-2018 12:10
L. Craig,St. Johnstone FC,Scottish Premiership,CDM,Bronze,65,78,59,52,61,36,63,19-09-2018 12:10
J. Troisi,Western Sydney Wanderers,Australian Hyundai A-League,ST,Bronze,65,31,39,57,48,63,59,19-09-2018 12:10
E. Gutiérrez,Club Universitario de Deportes,Peruvian Primera División,CM,Bronze,65,53,61,46,63,30,68,19-09-2018 12:10
M. Bostwick,Burton Albion,English League One,LB,Bronze,65,78,38,57,62,56,49,19-09-2018 12:10
L. Akins,Burton Albion,English League One,ST,Bronze,65,71,56,60,67,30,46,19-09-2018 12:10
L. Stevenson,Hibernian,Scottish Premiership,CM,Bronze,65,69,44,54,56,59,68,19-09-2018 12:10
J. Horn,Sarpsborg 08 FF,Norwegian Eliteserien,CB,Bronze,65,79,48,60,58,59,65,19-09-2018 12:10
M. Bottani,FC Lugano,Swiss Super League,CB,Bronze,65,63,58,61,63,44,61,19-09-2018 12:10
Kwoun Sun Tae,Kashima Antlers,Japanese J. League Division 1,CDM,Bronze,65,61,29,56,62,61,67,19-09-2018 12:10
Kim Chang Soo,Incheon United FC,Korean K League 1,CDM,Bronze,65,72,62,58,65,51,50,19-09-2018 12:10
K. Özer,Gazişehir Gaziantep F.K.,Turkish Süper Lig,ST,Bronze,65,87,51,57,64,27,65,19-09-2018 12:10
Canella,CD Lugo,Spanish Segunda División,CF,Bronze,65,75,58,52,69,29,47,19-09-2018 12:10
C. Cortés,Club Deportivo Palestino,Chilian Campeonato Nacional,CF,Bronze,65,66,24,48,56,59,70,19-09-2018 12:10
D. Worrall,Port Vale,English League Two,CB,Bronze,65,76,47,57,61,59,62,19-09-2018 12:10
B. Knighton,New England Revolution,USA Major League Soccer,CB,Bronze,65,66,29,42,58,61,70,19-09-2018 12:10
N. Gerzić,Örebro SK,Swedish Allsvenskan,CM,Bronze,65,73,60,57,61,63,71,19-09-2018 12:10
A. Ríos,San Jose Earthquakes,USA Major League Soccer,RW,Bronze,65,51,45,61,61,59,73,19-09-2018 12:10
Qin Sheng,Shanghai Shenhua FC,Chinese Super League,LB,Bronze,65,57,36,57,57,63,70,19-09-2018 12:10
J. Spearing,Tranmere Rovers,English League Two,CB,Bronze,65,66,63,48,61,36,65,19-09-2018 12:10
E. Domaschke,SV Meppen,German 3. Bundesliga,CAM,Bronze,65,51,26,37,45,63,70,19-09-2018 12:10
Marco Soares,FC Arouca,Portuguese Liga ZON SAGRES,ST,Bronze,65,37,29,39,38,60,76,19-09-2018 12:10
F. Ojo,Aberdeen,Scottish Premiership,ST,Bronze,65,63,58,63,64,46,63,19-09-2018 12:10
E. Paartalu,Bengaluru FC,Indian Super League,ST,Bronze,65,75,58,55,68,26,40,19-09-2018 12:10
Á. Bogdán,Ferencvárosi TC,Hungarian Nemzeti Bajnokság I,CB,Bronze,65,75,38,54,58,58,77,19-09-2018 12:10
M. Kramer,RKC Waalwijk,Holland Eredivisie,CB,Bronze,65,64,31,53,52,63,69,19-09-2018 12:10
G. Madine,Blackpool,English League Championship,RB,Bronze,65,74,57,61,65,52,74,19-09-2018 12:10
A. Clayton,Birmingham City,English League Championship,CM,Bronze,65,65,54,63,62,54,67,19-09-2018 12:10
A. Østbø,Viking FK,Norwegian Eliteserien,CB,Bronze,65,66,39,51,58,64,60,19-09-2018 12:10
N. Vidrio,Mazatlán Futbol Club,Mexican Liga MX,RW,Bronze,65,66,52,61,62,57,53,19-09-2018 12:10
S. Salinas,San Jose Earthquakes,USA Major League Soccer,ST,Bronze,65,73,58,54,64,30,69,19-09-2018 12:10
E. Ambrose,St. Johnstone FC,Scottish Premiership,ST,Bronze,65,84,39,50,59,58,68,19-09-2018 12:10
P. Šteinbors,Jagiellonia Białystok,Polish T-Mobile Ekstraklasa,LM,Bronze,65,79,60,50,58,35,80,19-09-2018 12:10
E. Vera,Gallos Blancos de Querétaro,Mexican Liga MX,RM,Bronze,65,71,42,50,54,58,72,19-09-2018 12:10
J. González,Club Universidad Nacional,Mexican Liga MX,LB,Bronze,65,35,41,48,38,69,76,19-09-2018 12:10
S. Conneely,Accrington Stanley,English League One,CB,Bronze,65,67,53,62,62,60,59,19-09-2018 12:10
L. Sercombe,Cheltenham Town,English League One,CB,Bronze,65,69,33,52,57,61,62,19-09-2018 12:10
J. Skjelvik,Odense Boldklub,Danish Superliga,LB,Bronze,65,59,25,38,35,63,66,19-09-2018 12:10
L. Kalludra,Kristiansund BK,Norwegian Eliteserien,CM,Bronze,65,74,50,63,66,36,55,19-09-2018 12:10
A. MacDonald,Gillingham,English League One,ST,Bronze,65,73,51,62,70,58,64,19-09-2018 12:10
E. Schreiner,SC Rheindorf Altach,Austrian Football Bundesliga,CM,Bronze,65,59,57,68,64,58,58,19-09-2018 12:10
Juanan,Hyderabad FC,Indian Super League,CB,Bronze,65,47,36,52,54,63,70,19-09-2018 12:10
J. Mills,Northampton Town,English League Two,LB,Bronze,65,65,55,63,57,57,68,19-09-2018 12:10
J. Brayford,Burton Albion,English League One,CDM,Bronze,65,78,58,53,62,39,61,19-09-2018 12:10
K. Tokstad,Strømsgodset IF,Norwegian Eliteserien,CB,Bronze,65,72,61,50,61,23,67,19-09-2018 12:10
D. Gustafsson,Lillestrøm SK,Norwegian Eliteserien,CDM,Bronze,65,68,45,54,61,61,61,19-09-2018 12:10
Mossa,Real Oviedo,Spanish Segunda División,CDM,Bronze,65,66,55,59,66,30,47,19-09-2018 12:10
C. McManaman,Tranmere Rovers,English League Two,CDM,Bronze,65,75,56,56,62,33,66,19-09-2018 12:10
A. DeLaGarza,New England Revolution,USA Major League Soccer,CDM,Bronze,65,69,41,61,60,62,60,19-09-2018 12:10
A. Al Zori,Al Shabab,Saudi Abdul L. Jameel League,RB,Bronze,65,67,31,51,59,61,70,19-09-2018 12:10
Yu Yang,Beijing Guoan FC,Chinese Super League,LW,Bronze,65,62,47,61,60,62,75,19-09-2018 12:10
Dong Xuesheng,Wuhan FC,Chinese Super League,RB,Bronze,65,74,62,59,64,30,59,19-09-2018 12:10
Lim Jong Eun,Ulsan Hyundai FC,Korean K League 1,CM,Bronze,65,61,62,47,59,28,64,19-09-2018 12:10
Paulinho,Hammarby IF,Swedish Allsvenskan,CM,Bronze,65,69,26,36,47,63,69,19-09-2018 12:10
M. Jurman,Newcastle Jets,Australian Hyundai A-League,RM,Bronze,65,72,60,49,62,25,61,19-09-2018 12:10
P. Huspek,SK Sturm Graz,Austrian Football Bundesliga,CM,Bronze,65,65,32,46,58,63,59,19-09-2018 12:10
M. Davidson,St. Johnstone FC,Scottish Premiership,CB,Bronze,65,65,29,32,44,61,74,19-09-2018 12:10
A. Cook,Bradford City,English League Two,LM,Bronze,65,52,16,28,35,64,69,19-09-2018 12:10
Steven Vitória,Moreirense FC,Portuguese Liga ZON SAGRES,CB,Bronze,65,63,54,59,63,58,71,19-09-2018 12:10
P. Kovář,SK Slavia Praha,Czech Republic Gambrinus Liga,RB,Bronze,65,65,40,55,60,60,73,19-09-2018 12:10
H. Mulder,RKC Waalwijk,Holland Eredivisie,CB,Bronze,65,53,36,47,50,61,70,19-09-2018 12:10
M. Lund,Salford City,English League Two,RM,Bronze,65,72,52,55,57,60,69,19-09-2018 12:10
O. Lee,Gillingham,English League One,ST,Bronze,65,72,34,51,61,61,64,19-09-2018 12:10
M. Pink,SK Austria Klagenfurt,Austrian Football Bundesliga,CDM,Bronze,65,65,27,34,38,64,64,19-09-2018 12:10
Romário,Kalmar FF,Swedish Allsvenskan,ST,Bronze,65,68,58,59,66,32,38,19-09-2018 12:10
L. Brown,Portsmouth,English League One,ST,Bronze,65,54,38,66,64,58,65,19-09-2018 12:10
N. Yamada,Shonan Bellmare,Japanese J. League Division 1,CDM,Bronze,65,58,49,57,62,63,78,19-09-2018 12:10
O. Beckles,Leyton Orient,English League Two,ST,Bronze,65,68,40,56,62,59,77,19-09-2018 12:10
Adrián Sardinero,Perth Glory,Australian Hyundai A-League,CM,Bronze,65,64,40,53,57,60,66,19-09-2018 12:10
D. Davis,Shrewsbury Town,English League One,LB,Bronze,65,62,44,56,61,63,60,19-09-2018 12:10
C. McLaughlin,,,CDM,Bronze,65,74,57,50,71,29,44,19-09-2018 12:10
L. Gutiérrez,Club Bolívar,Liga de Fútbol Profesional Boliviano,CB,Bronze,65,68,55,64,65,55,59,19-09-2018 12:10
M. Titsch Rivero,Hallescher FC,German 3. Bundesliga,CM,Bronze,65,55,20,31,43,62,70,19-09-2018 12:10
F. Flores,Deportivo Táchira FC,Venezuelan Primera División,CAM,Bronze,65,57,54,56,63,57,65,19-09-2018 12:10
G. Álvarez,Club Deportivo Jorge Wilstermann,Liga de Fútbol Profesional Boliviano,ST,Bronze,65,74,62,56,66,25,56,19-09-2018 12:10
B. García,Houston Dynamo,USA Major League Soccer,CB,Bronze,65,50,36,48,56,63,73,19-09-2018 12:10
A. Nsiala,Ipswich Town,English League One,RB,Bronze,65,61,52,63,67,49,51,19-09-2018 12:10
I. Saadi,SC Bastia,French Ligue 2,CM,Bronze,65,81,55,59,64,45,53,19-09-2018 12:10
T. Bunbury,New England Revolution,USA Major League Soccer,CAM,Bronze,65,54,29,42,52,61,68,19-09-2018 12:10
C. McAleny,Salford City,English League Two,CM,Bronze,65,74,58,57,64,36,55,19-09-2018 12:10
M. Sansores,Club Tijuana,Mexican Liga MX,LW,Bronze,65,88,54,59,63,32,59,19-09-2018 12:10
T. Eaves,Hull City,English League Championship,CB,Bronze,65,60,32,35,39,63,69,19-09-2018 12:10
G. Williams,Cambridge United,English League One,CB,Bronze,65,73,55,59,63,52,57,19-09-2018 12:10
C. Warner,Colorado Rapids,USA Major League Soccer,CM,Bronze,65,41,55,68,66,36,49,19-09-2018 12:10
P. Slišković,Türkgücü München,German 3. Bundesliga,LM,Bronze,65,45,64,53,59,25,71,19-09-2018 12:10
M. Murzaev,Chennaiyin FC,Indian Super League,CM,Bronze,65,63,49,64,65,63,71,19-09-2018 12:10
Aguilera,AD Alcorcón,Spanish Segunda División,CDM,Bronze,65,61,59,61,61,62,61,19-09-2018 12:10
B. Oviedo,F.C. København,Danish Superliga,CM,Bronze,65,71,65,45,55,26,56,19-09-2018 12:10
A. Faltsetas,BK Häcken,Swedish Allsvenskan,CB,Bronze,65,83,61,51,60,40,72,19-09-2018 12:10
J. Shaughnessy,St. Mirren,Scottish Premiership,CB,Bronze,65,87,50,55,60,57,79,19-09-2018 12:10
A. Acosta,Fútbol Club Juárez,Mexican Liga MX,ST,Bronze,65,68,61,57,65,27,56,19-09-2018 12:10
Fran Grima,UD Ibiza,Spanish Segunda División,CB,Bronze,65,66,43,56,61,61,56,19-09-2018 12:10
